method,surfaceIfs,nestedIfs,surfaceSwitches,nestedSwitches,surfaceFors,nestedFors,surfaceForEachs,nestedForEachs,surfaceWhiles,nestedWhiles,surfaceDos,nestedDos,iterativeStmts,conditionalStmts
com.alibaba.druid.wall.WallConfig.configFromProperties(Properties),0,10,0,0,0,0,0,1,0,0,0,0,1,10
com.alibaba.druid.wall.WallFilter.init(DataSourceProxy),4,6,0,0,0,0,0,0,0,0,0,0,0,10
com.alibaba.druid.wall.spi.SQLServerWallProvider.createWallVisitor(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.stat.JdbcStatManager.getSqlList(),1,5,0,0,0,0,2,3,0,0,0,0,5,6
"com.alibaba.druid.mock.MockDriver.createMockConnection(MockDriver,String,Properties)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.SQLServerWallProvider.createParser(String),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.dialect.sqlserver.parser.SQLServerStatementParser.createSQLSelectParser(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_executeQuery(PreparedStatementProxy),2,0,0,0,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.pool.DruidDataSource.createAndStartCreatorThread(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.pool.DruidConnectionHolder.reset(),4,0,0,0,0,0,1,0,0,0,0,0,1,4
"com.alibaba.druid.wall.WallProvider.addWhiteSql(String,Map<String,WallSqlTableStat>,Map<String,WallSqlFunctionStat>,boolean)",2,5,0,0,0,0,0,0,0,0,0,0,0,7
com.alibaba.druid.wall.WallProvider.getTableStatWithLowerName(String),1,1,0,0,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.pool.DruidPooledPreparedStatement.executeQuery(),0,1,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.wall.WallUtils.isValidateMySql(String,WallConfig)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.WallProvider.checkInternal(String),10,11,0,0,0,1,0,1,0,0,0,0,2,21
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(SQLASTVisitor),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.wall.spi.MySqlWallVisitor.toSQL(SQLObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.mock.MockDriver.createMockPreparedStatement(MockConnection,String)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.wall.spi.WallVisitorUtils.getValue(WallVisitor,SQLExpr)",12,12,0,2,0,0,0,0,0,0,0,0,0,26
com.alibaba.druid.mock.MockDriver.createMockStatement(MockConnection),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidDataSourceFactory.createDataSource(Map),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidDataSource.put(PhysicalConnectionInfo),0,1,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.pool.DruidConnectionHolder.getStatementPool(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.wall.WallProvider.addBlackSql(String,Map<String,WallSqlTableStat>,Map<String,WallSqlFunctionStat>,List<Violation>,boolean)",1,4,0,0,0,0,0,0,0,0,0,0,0,5
com.alibaba.druid.wall.spi.MySqlWallProvider.createExportParameterVisitor(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.filter.FilterChainImpl.nextFilter(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.WallProvider.checkValid(String),0,1,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.wall.WallUtils.isValidateOracle(String,WallConfig)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.mock.MockDriver.registerDriver(Driver),0,1,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.pool.DruidDataSource.createAndStartDestroyThread(),1,1,0,0,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.proxy.DruidDriver.registerDriver(Driver),0,1,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.SQLUtils.translateOracleToMySql(String),0,0,0,1,1,0,0,0,0,0,0,0,1,1
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visitorBinaryRight(SQLBinaryOpExpr),3,3,0,1,0,0,0,0,0,0,0,0,0,7
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(SQLASTVisitor),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.pool.DruidPooledConnection.createStatement(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.ast.SQLDataTypeImpl.toString(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.OracleWallProvider.createExportParameterVisitor(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.PGWallProvider.createParser(String),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.wall.spi.WallVisitorUtils.loadResource(Set<String>,String)",0,4,0,2,0,0,0,0,0,1,0,0,1,6
com.alibaba.druid.wall.WallUtils.isValidateOracle(String),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidDataSource.takeLast(),0,3,0,0,0,0,0,0,0,1,0,0,1,3
com.alibaba.druid.sql.parser.Lexer.token(),0,0,0,5,0,0,0,0,0,0,0,0,0,5
com.alibaba.druid.wall.WallUtils.isValidateSqlServer(String),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.ast.expr.SQLIdentifierExpr.accept0(SQLASTVisitor),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidPooledConnection.close(),5,1,0,0,0,0,1,0,0,0,0,0,1,6
com.alibaba.druid.wall.WallContext.getTableStat(String),2,1,0,0,0,0,0,0,0,0,0,0,0,3
com.alibaba.druid.sql.parser.SQLExprParser.parseLimit(),1,5,0,1,0,0,0,0,0,0,0,0,0,7
"com.alibaba.druid.sql.SQLUtils.format(String,String,List<Object>,FormatOption)",0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.pool.DruidDataSource.getConnectionDirect(long),0,12,0,0,1,0,0,0,0,0,0,0,1,12
"com.alibaba.druid.wall.spi.WallVisitorUtils.getValue_and(WallVisitor,List<SQLExpr>)",1,5,0,2,1,0,0,0,0,0,0,0,1,8
com.alibaba.druid.stat.DruidDataSourceStatManager.getDataSourceList(),0,0,0,0,0,0,1,0,0,0,0,0,1,0
com.alibaba.druid.wall.spi.OracleWallVisitor.preVisit(SQLObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.filter.stat.StatFilter.getConnectionInfo(ConnectionProxy),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.pool.DruidPooledConnection.recycle(),3,1,0,0,0,0,0,0,0,0,0,0,0,4
com.alibaba.druid.stat.JdbcSqlStat.getCompositeType(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.mysql.parser.MySqlLexer.scanString(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.sql.PagerUtils.limitSQLServer(SQLSelect,String,int,int,boolean)",2,3,0,0,0,0,0,0,0,0,0,0,0,5
com.alibaba.druid.stat.DruidDataSourceStatManager.clear(),0,1,0,0,0,0,0,1,0,0,0,0,1,1
com.alibaba.druid.pool.DruidAbstractDataSource.getProxyFilters(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.dialect.mysql.parser.MySqlLexer.scanNumber(),5,8,0,0,1,4,0,0,0,0,0,0,5,13
com.alibaba.druid.sql.ast.statement.SQLSelectStatement.accept0(SQLASTVisitor),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.support.json.JSONWriter.write(char),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.OracleWallVisitor.toSQL(SQLObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.WallVisitorUtils.isInTableSource(SQLObject),1,1,0,2,1,0,0,0,0,0,0,0,1,4
com.alibaba.druid.sql.parser.SQLExprParser.bitXor(),1,0,0,1,0,0,0,0,0,0,0,0,0,2
"com.alibaba.druid.sql.PagerUtils.hasUnorderedLimit(String,String)",2,0,0,0,0,0,0,2,0,0,0,0,2,2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(SQLMethodInvokeExpr),4,10,0,1,1,0,0,0,0,0,0,0,1,15
com.alibaba.druid.sql.visitor.SQLASTVisitorAdapter.preVisit(SQLObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.MySqlWallVisitor.getViolations(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.WallProvider.getBlackSql(String),0,1,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.sqlserver.parser.SQLServerExprParser.parseSelectItem(),1,1,0,0,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.pool.DruidDataSource.registerMbean(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.sql.parser.SQLStatementParser.parseValueClause(List<SQLInsertStatement.ValuesClause>,int,SQLObject)",0,19,0,2,1,1,0,0,0,0,0,0,2,21
"com.alibaba.druid.wall.spi.WallVisitorUtils.check(WallVisitor,SQLExprTableSource)",2,13,0,2,0,0,0,0,0,1,0,0,1,17
com.alibaba.druid.filter.FilterChainImpl.getFilters(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.sql.parser.SQLParserUtils.createSQLStatementParser(String,String)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlEvalVisitorImpl.visit(SQLBinaryOpExpr),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl.configFromProperties(Properties),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.wall.spi.WallVisitorUtils.form(String),3,0,0,2,0,0,0,0,0,0,0,0,0,5
com.alibaba.druid.util.FnvHash.hashCode64(String),3,1,0,0,0,0,0,0,0,0,0,0,0,4
"com.alibaba.druid.pool.DruidAbstractDataSource.initStatement(DruidPooledConnection,Statement)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.parser.Lexer.nextTokenComma(),5,2,0,5,0,0,0,0,0,0,0,0,0,12
com.alibaba.druid.support.http.WebStatFilter.init(FilterConfig),1,12,0,0,0,0,0,0,0,0,0,0,0,13
com.alibaba.druid.sql.parser.SQLStatementParser.parseSelect(),0,0,0,2,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.pool.DruidPooledConnection.afterExecute(),1,1,0,0,0,0,0,0,0,0,0,0,0,2
"com.alibaba.druid.wall.spi.WallVisitorUtils.checkSelectForMultiTenant(WallVisitor,SQLSelectQueryBlock)",6,10,0,2,0,0,0,0,0,0,0,0,0,18
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseCreateIndexUsing(SQLCreateIndexStatement),1,1,0,1,0,0,0,0,0,0,0,0,0,3
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(SQLSelectItem),3,1,0,1,0,0,0,0,0,0,0,0,0,5
com.alibaba.druid.sql.parser.SQLExprParser.parseOrderBy(),1,1,0,1,0,0,0,0,0,0,0,0,0,3
com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(),6,0,0,0,0,0,0,0,0,0,0,0,0,6
"com.alibaba.druid.wall.WallProvider.recordStats(Map<String,WallSqlTableStat>,Map<String,WallSqlFunctionStat>)",2,2,0,0,0,0,0,2,0,0,0,0,2,4
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.println(),1,0,0,1,0,0,0,0,0,0,0,0,0,2
"com.alibaba.druid.mock.MockDriver.connect(String,Properties)",6,1,0,0,0,0,0,0,0,0,0,0,0,7
com.alibaba.druid.sql.ast.expr.SQLAllColumnExpr.accept0(SQLASTVisitor),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.WallTableStat.addSqlTableStat(WallSqlTableStat),0,10,0,0,0,0,0,0,0,0,0,0,0,10
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.createChain(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseAlterTable(boolean),0,43,0,1,1,2,0,0,0,0,0,0,3,44
com.alibaba.druid.sql.parser.Lexer.identifierEquals(String),2,0,0,5,0,0,0,0,0,0,0,0,0,7
com.alibaba.druid.sql.parser.SQLExprParser.createColumnDefinition(),0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.wall.spi.MySqlWallVisitor.visit(SQLBinaryOpExpr),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.parser.Lexer.nextTokenNotOrNull(),1,2,0,5,0,0,0,0,1,0,0,0,1,8
"com.alibaba.druid.filter.encoding.EncodingConvertFilter.connection_connect(FilterChain,Properties)",2,0,0,0,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.wall.WallProvider.getConfig(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidAbstractDataSource.isAsyncCloseConnectionEnable(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal(DruidConnectionHolder,Connection)",2,11,0,0,0,0,0,0,0,0,0,0,0,13
"com.alibaba.druid.wall.spi.WallVisitorUtils.preVisitCheck(WallVisitor,SQLObject)",3,0,0,2,0,0,0,0,0,0,0,0,0,5
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.createChain(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.sql.visitor.SQLASTVisitorAdapter.config(VisitorFeature,boolean)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.filter.FilterChainImpl.getDataSource(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.stat.DruidDataSourceStatManager.getInstances(),1,2,0,0,0,0,0,0,0,0,0,0,0,3
"com.alibaba.druid.sql.PagerUtils.limitOracle(SQLSelect,String,int,int,boolean)",2,7,0,0,0,0,0,0,0,0,0,0,0,9
"com.alibaba.druid.wall.spi.WallVisitorUtils.getValueFromAttributes(WallVisitor,SQLObject)",2,0,0,2,0,0,0,0,0,0,0,0,0,4
com.alibaba.druid.sql.ast.statement.SQLUpdateSetItem.accept0(SQLASTVisitor),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.split(SQLBinaryOpExpr,SQLBinaryOperator)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.wall.spi.WallVisitorUtils.initWallTopStatementContext(),0,0,0,2,0,0,0,0,0,0,0,0,0,2
"com.alibaba.druid.sql.visitor.SQLEvalVisitorUtils.evalExpr(String,String,List<Object>)",0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.parser.Lexer.scanAlias(),0,14,0,5,1,1,0,0,0,0,0,0,2,19
"com.alibaba.druid.util.Utils.loadFromFile(String,Set<String>)",0,2,0,0,0,1,0,0,0,0,0,0,1,2
com.alibaba.druid.pool.DruidAbstractDataSource.getName(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.proxy.DruidDriver.getDataSource(String,Properties)",1,3,0,0,0,0,0,2,0,0,0,0,2,4
"com.alibaba.druid.sql.ast.SQLObjectImpl.acceptChild(SQLASTVisitor,List<?extendsSQLObject>)",1,0,0,0,0,0,1,0,0,0,0,0,1,1
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlSchemaStatVisitor.visit(MySqlCreateTableStatement),1,1,0,0,0,0,1,0,0,0,0,0,1,2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(SQLBinaryOpExprGroup),3,21,0,1,1,1,0,1,0,0,0,0,3,25
"com.alibaba.druid.sql.parser.SQLParserFeature.config(int,SQLParserFeature,boolean)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.util.Utils.readFromResource(String),0,2,0,0,0,0,0,0,0,0,0,0,0,2
"com.alibaba.druid.support.http.WebStatFilter.doFilter(ServletRequest,ServletResponse,FilterChain)",5,10,0,0,0,0,0,0,0,0,0,0,0,15
com.alibaba.druid.stat.DruidDataSourceStatManager.isRegisterToSystemProperty(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.DB2WallProvider.createParser(String),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(SQLAlterTableStatement),4,3,0,0,1,0,1,0,0,0,0,0,2,7
"com.alibaba.druid.sql.PagerUtils.limit(String,String,int,int)",2,0,0,0,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.stat.DruidStatService.registerMBean(),0,1,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.sqlserver.parser.SQLServerSelectParser.parseTableSourceRest(SQLTableSource),1,1,0,0,0,1,0,0,0,0,0,0,1,2
com.alibaba.druid.sql.ast.statement.SQLTruncateStatement.addTableSource(SQLName),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.sql.visitor.VisitorFeature.config(int,VisitorFeature,boolean)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.sql.visitor.SQLEvalVisitorUtils.visit(SQLEvalVisitor,SQLNumericLiteralExpr)",0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.setRight(SQLExpr),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.sqlserver.parser.SQLServerExprParser.createSelectParser(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(SQLCreateViewStatement),8,1,0,1,0,1,0,0,0,0,0,0,1,10
com.alibaba.druid.filter.FilterChainImpl.connection_isClosed(ConnectionProxy),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.oracle.parser.OracleExprParser.parsePartition(),2,4,0,1,1,1,0,0,0,0,0,0,2,7
com.alibaba.druid.support.json.JSONWriter.writeDate(Date),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.proxy.jdbc.WrapperProxyImpl.putAttribute(String,Object)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.stat.JdbcStatManager.reset(),0,0,0,0,0,0,2,0,0,0,0,0,2,0
com.alibaba.druid.sql.parser.SQLExprParser.xor(),1,0,0,1,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlASTVisitorAdapter.endVisit(MySqlOutFileExpr),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.ast.statement.SQLCharacterDataType.clone(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.support.json.JSONParser.nextChar(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.executeQuery(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.ast.SQLObjectImpl.hasBeforeComment(),2,0,0,0,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExprGroup.add(SQLExpr),1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.split(List<SQLExpr>,SQLExpr,SQLBinaryOperator)",3,8,0,0,2,0,0,0,0,0,0,0,2,11
"com.alibaba.druid.filter.stat.StatFilter.internalBeforeStatementExecute(StatementProxy,String)",5,1,0,0,0,0,0,0,0,0,0,0,0,6
"com.alibaba.druid.filter.stat.StatFilter.mergeSql(String,String)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"com.alibaba.druid.sql.ast.SQLObjectImpl.acceptChild(SQLASTVisitor,SQLObject)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.ast.statement.SQLSelect.accept0(SQLASTVisitor),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.dialect.hive.parser.HiveStatementParser.createSQLSelectParser(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.sql.parser.SQLExprParser.orderBy(List<SQLSelectOrderByItem>,SQLObject)",0,0,0,1,0,0,0,0,1,0,0,0,1,1
"com.alibaba.druid.filter.FilterChainImpl.resultSetMetaData_getColumnType(ResultSetMetaDataProxy,int)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.ast.expr.SQLPropertyExpr.clone(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.support.logging.LogFactory.getLog(String),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.MySqlWallVisitor.visit(MySqlSelectQueryBlock),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.wall.spi.WallVisitorUtils.addViolation(WallVisitor,int,String,SQLObject)",0,0,0,2,0,0,0,0,0,0,0,0,0,2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(SQLAggregateExpr),5,2,0,1,1,0,0,0,0,0,0,0,1,8
com.alibaba.druid.pool.DruidPooledConnection.transactionRecord(String),2,1,0,0,0,0,0,0,0,0,0,0,0,3
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.nameRest(SQLName),1,2,0,0,0,0,0,0,0,0,0,0,0,3
com.alibaba.druid.support.json.JSONWriter.writeObject(Object),13,2,0,0,0,2,0,0,0,0,0,0,2,15
com.alibaba.druid.filter.stat.StatFilter.statementCreateAfter(StatementProxy),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.WallSqlTableStat.getTruncateCount(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.WallContext.current(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidConnectionHolder.addTrace(DruidPooledStatement),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.parser.Lexer.scanString2(),1,14,0,5,1,1,0,0,0,0,0,0,2,20
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.printIndent(),1,0,0,1,0,1,0,0,0,0,0,0,1,2
com.alibaba.druid.sql.parser.Lexer.isOperator(char),0,0,1,5,0,0,0,0,0,0,0,0,0,6
com.alibaba.druid.wall.spi.SQLServerWallVisitor.preVisit(SQLObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.proxy.jdbc.ResultSetMetaDataProxyImpl.createChain(),1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(SQLExprTableSource),2,0,0,1,0,0,0,0,0,0,0,0,0,3
com.alibaba.druid.sql.repository.SchemaRepository.findTable(SQLName),2,1,0,0,0,0,0,0,0,0,0,0,0,3
com.alibaba.druid.pool.DruidPooledPreparedStatement.getPreparedStatementHolder(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlASTVisitorAdapter.endVisit(SQLIntervalExpr),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(PreparedStatementProxy),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.pool.DruidPooledConnection.getCatalog(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseIndexHintList(SQLTableSource),3,0,0,0,0,0,0,0,0,0,0,0,0,3
"com.alibaba.druid.sql.dialect.mysql.visitor.MySqlEvalVisitorImpl.registerFunction(String,Function)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.printCreateTable(SQLCreateTableStatement,boolean)",5,0,0,1,0,0,0,0,0,0,0,0,0,6
com.alibaba.druid.wall.spi.MySqlWallVisitor.getUpdateCheckItems(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.wall.spi.WallVisitorUtils.checkFunction(WallVisitor,SQLMethodInvokeExpr)",4,4,0,2,0,0,0,0,0,0,0,0,0,10
com.alibaba.druid.wall.spi.MySqlWallVisitor.visit(SQLUpdateStatement),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.stat.JdbcResultSetStat.afterClose(long),0,4,0,0,2,0,0,0,0,0,0,0,2,4
com.alibaba.druid.pool.DruidPooledStatement.checkOpen(),1,2,0,0,0,0,0,0,0,0,0,0,0,3
